productName,UUID,S0,S1,S2,S3,S4
"Natursteinplatte, weich, Fassade",b3e4257b-bdb7-4da2-9c33-990243dd4aa8,0.78,0.35,0.89,0.515,0.09
Brettschichtholz Nadelholz,86138863-3c1c-4345-9ae9-03ba28a5f9a7,0.945,0.135,0.785,0.31,0.19
Perlite 0-1,ad49148a-69c3-41b5-9cbb-d93a31f1fd17,0.92,0.185,0.8,0.57,0.19
"Natursteinplatte, hart, Innenboden (Dicke 0,02 m)",c241605d-34f1-44db-bf07-78610e849edb,0.78,0.35,0.89,0.515,0.09
"Stahl Feinblech (0,3-3,0mm), unverzinkt",89318772-3a50-4f56-9839-d0a8c702e396,0.97,0.0,0.99,0.01,0.005
"Transportbeton C50/60 - exkl. Bewehrung, Standard EoL",0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b,0.785,0.0,0.62,0.455,0.1
Perlite 0-3,d69a69ca-9323-4a28-81f7-ed8b457080c6,0.92,0.185,0.8,0.57,0.19
"Transportbeton C30/37 - exkl. Bewehrung, Standard EoL",d6f982e3-beda-49f0-a298-694fcbf3ba38,0.785,0.0,0.62,0.455,0.1
"Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)  - exkl. Bewehrung, Standard EoL",20b0761f-99e0-48db-b1e4-0fdb1b7739ef,0.785,0.0,0.62,0.455,0.1
PVC FuÃbodenbelag,fde18fdc-ca6b-41d3-9918-aab96177fc24,0.865,0.12,0.875,0.04,0.055
"Betonfertigteil Decke 20cm - exkl. Bewehrung, Standard EoL",45e6dcac-70b9-4982-bf04-4ff566facba1,0.785,0.0,0.62,0.455,0.1
"Betonfertigteil Wand 12cm  - exkl. Bewehrung, Standard EoL",97b971c7-8d43-4650-bfd6-75fdcf9a2101,0.785,0.0,0.62,0.455,0.1
Schaumglasplatten,7091503e-34e5-44cd-9acb-7c2f16f6097f,0.98,0.045,0.85,0.18,0.03
Porenbeton P4 05 bewehrt,45e2894f-09e7-4152-a4bd-8a13f6d5b0c3,0.865,0.235,0.89,0.73,0.105
Beton-Mauersteine - Standard EoL,2cdcffc6-84e9-4238-b8af-beebabea9a2d,0.785,0.0,0.62,0.455,0.1
Konstruktionsvollholz - beschichtet,6b363ddc-f127-4d44-9f4b-54daada07465,0.86,0.125,0.7,0.305,0.205
"Porenbeton P4 05 unbewehrt, Rho 472 kg/mÂ³",f1e6c40e-3f2e-4435-9fd8-abc2dd96c38c,0.865,0.235,0.89,0.73,0.105
Recycling Transportbeton C20/25 - exkl. Bewehrung,8f11c179-e367-4833-93f3-10597923c79c,0.785,0.0,0.62,0.455,0.1
Recycling Transportbeton C25/30 - exkl. Bewehrung,61c0c795-7116-407d-8635-68fe422f76a9,0.785,0.0,0.62,0.455,0.1
"Porenbeton P2 04 unbewehrt, Rho 380 kg/mÂ³",c5310f2b-23a1-4059-ba25-80d9b3e933f5,0.865,0.235,0.89,0.73,0.105
Recycling Transportbeton C30/37 - exkl. Bewehrung,3e15eb88-e824-4a81-972a-45e06930aa19,0.785,0.0,0.62,0.455,0.1
SchÃ¼ttung aus Polystyrolschaumstoff-Partikeln (zementgebunden),8f6daa87-b2ee-4eb0-95e0-737ac8c6a59f,0.99,0.045,0.11,0.745,0.02
Balkenschichtholz Nadelholz - beschichtet,aeab0f39-5eab-422f-8c4b-822bb98aa63c,0.86,0.125,0.7,0.305,0.205
Recycling Transportbeton C50/60  - exkl. Bewehrung,732a4fb1-1017-4682-ac12-49a256354964,0.785,0.0,0.62,0.455,0.1
Porenbeton Granulat,01f45a03-460d-4e55-b5c9-72d3e8eda18e,0.93,0.18,0.605,0.36,0.18
SplittschÃ¼ttung mineral. geb.,,0.95,0.215,0.705,0.385,0.015
